Time,Propellant mass (kg),Chamber pressure (Pa),Throat diameter (m),Nozzle inlet gamma,Nozzle efficiency,Exit static pressure (Pa),Area ratio,Vapour Density (kg/m^3),Vapour Mass (kg),Liquid Density (kg/m^3),Liquid Mass (kg),Solid Fuel Mass (kg),Solid Fuel Density (kg/m^3),Solid Fuel Outer Diameter (m),Solid Fuel Length (m)
0.7500000000000004,4.4186977821595645,3706841.025356805,0.02,1.254,0.97,176723.1190780959,3.5000000000000004,174.4111912543142,0.3087499374543903,764.1987591093306,2.358561688237116,1.751386156468058,1000,0.07,0.7
0.7600000000000005,4.410712814379139,3705536.940285532,0.02,1.254,0.97,176660.94700765584,3.5000000000000004,174.16336862865234,0.3105961412671503,764.5292592887349,2.3495711912674606,1.7505454818445287,1000,0.07,0.7
0.7700000000000005,4.402730666031859,3704228.5859988066,0.02,1.254,0.97,176598.57140297582,3.5000000000000004,173.91592809601994,0.31243118255355995,764.8595089850623,2.340594692297458,1.7497047911808412,1000,0.07,0.7
0.7800000000000005,4.394751346185684,3702916.0234687445,0.02,1.254,0.97,176535.9951708928,3.5000000000000004,173.66887765617525,0.3142551283130519,765.1894969084659,2.331632132907387,1.748864084965245,1000,0.07,0.7
0.7900000000000005,4.386774863784112,3701599.3104537907,0.02,1.254,0.97,176473.2210650324,3.5000000000000004,173.42222461774796,0.316068045230272,765.519212657892,2.3226834548721955,1.7480233636816442,1000,0.07,0.7
0.8000000000000005,4.378801227652747,3700278.5016658218,0.02,1.254,0.97,176410.25169377562,3.5000000000000004,173.1759756410351,0.31786999963793683,765.8486466673776,2.31374860020497,1.7471826278098395,1000,0.07,0.7
0.8100000000000005,4.370830446505517,3698953.6489286325,0.02,1.254,0.97,176347.08952781445,3.5000000000000004,172.93013677837948,0.31966105748385365,766.1777901553223,2.3048275111959096,1.7463418778257536,1000,0.07,0.7
0.8200000000000005,4.362862528950578,3697624.8013293054,0.02,1.254,0.97,176283.7369073686,3.5000000000000004,172.68471351226066,0.32144128430177465,766.5066350765849,2.2959201304471546,1.7455011142016492,1000,0.07,0.7
0.8300000000000005,4.354897483495898,3696292.00536144,0.02,1.254,0.97,176220.19604901384,3.5000000000000004,172.4397107912123,0.3232107451857753,766.8351740772616,2.2870264009037924,1.7446603374063303,1000,0.07,0.7
0.8400000000000005,4.346935318554548,3694955.3050629804,0.02,1.254,0.97,176156.46905225283,3.5000000000000004,172.1951330636847,0.3249695047678629,767.1634004520027,2.2781462658813467,1.743819547905339,1000,0.07,0.7
0.8500000000000005,4.338976042449721,3693614.742145142,0.02,1.254,0.97,176092.5579056619,3.5000000000000004,171.9509843099601,0.32671762719854014,767.4913081037413,2.2692796690900443,1.7429787461611366,1000,0.07,0.7
0.8600000000000005,4.33101966341947,3692270.3561164443,0.02,1.254,0.97,176028.4644928041,3.5000000000000004,171.70726807222204,0.32845517613008557,767.8188915057036,2.2604265546561066,1.7421379326332775,1000,0.07,0.7
0.8700000000000006,4.3230661896212075,3690922.1844006996,0.02,1.254,0.97,175964.19059785432,3.5000000000000004,171.46398748288163,0.3301822147023028,768.1461456655832,2.251586867140329,1.7412971077785757,1000,0.07,0.7
0.8800000000000006,4.315115629135958,3689570.262447893,0.02,1.254,0.97,175899.73791088563,3.5000000000000004,171.2211452912498,0.33189880553052964,768.4730660917671,2.2427605515541686,1.7404562720512595,1000,0.07,0.7
0.8900000000000006,4.3071679899723785,3688214.623840633,0.02,1.254,0.97,175835.10803294403,3.5000000000000004,170.97874388864798,0.3336050106957096,768.7996487615019,2.2339475533735484,1.7396154259031205,1000,0.07,0.7
0.9000000000000006,4.299223280070567,3686855.3003949528,0.02,1.254,0.97,175770.30248085444,3.5000000000000004,170.736785332039,0.3353008917363285,769.1258900908995,2.2251478185505884,1.7387745697836503,1000,0.07,0.7
0.9100000000000006,4.2912815073056665,3685492.3222550903,0.02,1.254,0.97,175705.3226917391,3.5000000000000004,170.49527136626156,0.33698650964205346,769.451786906682,2.2163612935234362,1.737933704140177,1000,0.07,0.7
0.9200000000000006,4.283342679491268,3684125.7179854875,0.02,1.254,0.97,175640.17002740374,3.5000000000000004,170.25420344494393,0.33866192484891444,769.7773364195738,2.207587925224365,1.7370928294179884,1000,0.07,0.7
0.9300000000000006,4.27540680438263,3682755.514655929,0.02,1.254,0.97,175574.84577839647,3.5000000000000004,170.01358275016509,0.34032719723587723,770.1025361992548,2.198827661086302,1.7362519460604506,1000,0.07,0.7
0.9400000000000006,4.2674738896797235,3681381.73792322,0.02,1.254,0.97,175509.35116790183,3.5000000000000004,169.77341021094153,0.3419823861226696,770.4273841507838,2.1900804490479353,1.7354110545091188,1000,0.07,0.7
0.9500000000000006,4.259543943030112,3680004.412109436,0.02,1.254,0.97,175443.68735547134,3.5000000000000004,169.53368652059464,0.3436275502687498,770.7518784924185,2.181346237557516,1.7345701552038464,1000,0.07,0.7
0.9600000000000006,4.251616972031668,3678623.5602739733,0.02,1.254,0.97,175377.85544045843,3.5000000000000004,169.2944121530683,0.3452627478732819,771.0760177347512,2.1726249755755025,1.7337292485828837,1000,0.07,0.7
0.9700000000000006,4.2436929842351425,3677239.204284293,0.02,1.254,0.97,175311.8564653912,3.5000000000000004,169.05558737825316,0.3468880365760243,771.3998006610916,2.163916612576146,1.7328883350829716,1000,0.07,0.7
0.9800000000000006,4.235771987146592,3675851.364881393,0.02,1.254,0.97,175245.69141909375,3.5000000000000004,168.81721227637166,0.34850347345903465,771.7232263090252,2.155221098548124,1.7320474151394334,1000,0.07,0.7
0.9900000000000007,4.227853988229675,3674460.0617421214,0.02,1.254,0.97,175179.36123965704,3.5000000000000004,168.5792867514795,0.3501091150490945,772.0462939530839,2.1465383839943217,1.7312064891862586,1000,0.07,0.7
1.0000000000000007,4.219938994907814,3673065.313538309,0.02,1.254,0.97,175112.86681725798,3.5000000000000004,168.34181054413335,0.3517050173207723,772.3690030884658,2.1378684199308573,1.7303655576561838,1000,0.07,0.7
1.0100000000000007,4.21202701456624,3671667.1379926815,0.02,1.254,0.97,175046.20899682495,3.5000000000000004,168.10478324327065,0.35329123570005727,772.6913534157462,2.129211157885416,1.7295246209807664,1000,0.07,0.7
1.0200000000000007,4.204118054553927,3670265.5519322706,0.02,1.254,0.97,174979.38858058432,3.5000000000000004,167.86820429734743,0.3548678250684887,773.0133448265234,2.120566549894979,1.7286836795904588,1000,0.07,0.7
1.0300000000000007,4.196212122185411,3668860.571337559,0.02,1.254,0.97,174912.40633040332,3.5000000000000004,167.63207302478062,0.3564348397677102,773.334977389946,2.1119345485030268,1.7278427339146742,1000,0.07,0.7
1.0400000000000007,4.188309224742516,3667452.211390483,0.02,1.254,0.97,174845.26297007862,3.5000000000000004,167.3963886237254,0.3579923336044133,773.6562513400752,2.103315106756251,1.7270017843818524,1000,0.07,0.7
1.0500000000000007,4.180409369475974,3666040.4865195244,0.02,1.254,0.97,174777.959187486,3.5000000000000004,167.16115018124003,0.3595403598555902,773.9771670640284,2.0947081782008667,1.7261608314195178,1000,0.07,0.7
1.0600000000000007,4.1725125636069595,3664625.4104412515,0.02,1.254,0.97,174710.49563656098,3.5000000000000004,166.9263566818594,0.36107897127407496,774.297725090867,2.086113716878546,1.7253198754543388,1000,0.07,0.7
1.0700000000000007,4.164618814328537,3663206.9962005685,0.02,1.254,0.97,174642.87293921746,3.5000000000000004,166.69200701562391,0.36260822009430305,774.617926081177,2.077531677322053,1.7244789169121808,1000,0.07,0.7
1.0800000000000007,4.156728128807027,3661785.256208783,0.02,1.254,0.97,174575.09168716276,3.5000000000000004,166.45809998558985,0.3641281580382749,774.9377708173089,2.0689620145505954,1.7236379562181559,1000,0.07,0.7
1.0900000000000007,4.148840514183293,3660360.202278963,0.02,1.254,0.97,174507.1524435832,3.5000000000000004,166.22463431485158,0.36563883632167116,775.257260194237,2.0604046840649484,1.7227969937966738,1000,0.07,0.7
1.1000000000000008,4.140955977573965,3658931.845659787,0.02,1.254,0.97,174439.05574475802,3.5000000000000004,165.9916086531072,0.36714030566009415,775.5763952109997,2.0518596418423853,1.7219560300714853,1000,0.07,0.7
1.1100000000000008,4.133074526072575,3657500.197067297,0.02,1.254,0.97,174370.80210157292,3.5000000000000004,165.7590215827944,0.36863261627540345,775.8951769626893,2.043326844331446,1.7211150654657257,1000,0.07,0.7
1.1200000000000008,4.125196166750651,3656065.2667145366,0.02,1.254,0.97,174302.39200093332,3.5000000000000004,165.5268716248208,0.3701158179021222,776.213606632958,2.0348062484465745,1.720274100401955,1000,0.07,0.7
1.1300000000000008,4.117320906658738,3654627.0643404117,0.02,1.254,0.97,174233.82590714018,3.5000000000000004,165.29515724391493,0.37158995979389164,776.5316854870088,2.026297811562647,1.7194331353021992,1000,0.07,0.7
1.1400000000000008,4.109448752827353,3653185.5992360306,0.02,1.254,0.97,174165.10426314577,3.5000000000000004,165.06387685361946,0.37305509072994747,776.8494148650437,2.0178014915094242,1.7185921705879807,1000,0.07,0.7
1.1500000000000008,4.10157971226791,3651740.8802696206,0.02,1.254,0.97,174096.22749174156,3.5000000000000004,164.83302882095066,0.3745112590216064,777.1667961761417,2.009317246565943,1.7177512066803597,1000,0.07,0.7
1.1600000000000008,4.093713791973567,3650292.915910789,0.02,1.254,0.97,174027.19599671487,3.5000000000000004,164.6026114707409,0.375958512518741,777.4838308925393,2.0008450354548657,1.71691024399996,1000,0.07,0.7
1.1700000000000008,4.08585099892005,3648841.7142521795,0.02,1.254,0.97,173958.01016388135,3.5000000000000004,164.3726230896894,0.37739689861622727,777.8005205442902,1.9923848173368168,1.7160692829670061,1000,0.07,0.7
1.1800000000000008,4.077991340066408,3647387.2830311144,0.02,1.254,0.97,173888.67036211674,3.5000000000000004,164.1430619301307,0.3788264642603645,778.1168667142834,1.9839365518046974,1.715228324001346,1000,0.07,0.7
1.1900000000000008,4.070134822355743,3645929.629648765,0.02,1.254,0.97,173819.17694427082,3.5000000000000004,163.91392621354862,0.38024725595523234,778.4328710335928,1.9755001988780267,1.714387367522484,1000,0.07,0.7
1.2000000000000008,4.062281452715893,3644468.7611891064,0.02,1.254,0.97,173749.5302480711,3.5000000000000004,163.68521413384417,0.381659319769001,778.7485351771433,1.9670757189972887,1.713546413949603,1000,0.07,0.7
1.2100000000000009,4.054431238060074,3643004.6844366044,0.02,1.254,0.97,173679.73059696602,3.5000000000000004,163.45692386037302,0.3830627013401713,779.0638608596701,1.9586630730183126,1.7127054637015906,1000,0.07,0.7
1.2200000000000009,4.046584185287499,3641537.405892022,0.02,1.254,0.97,173609.77830087853,3.5000000000000004,163.22905354077346,0.3844574458837311,779.3788498319548,1.950262222206705,1.7118645171970632,1000,0.07,0.7
1.2300000000000009,4.038740301283943,3640066.9317890066,0.02,1.254,0.97,173539.67365699692,3.5000000000000004,163.00160130359146,0.3858435981972457,779.6935038773215,1.9418731282323123,1.7110235748543856,1000,0.07,0.7
